item,dr,startDate,endDate
707,0.0,2011-05-01,2014-11-30
707,0.02,2011-05-31,2014-05-30
707,0.05,2011-05-31,2014-05-30
707,0.1,2012-05-30,2012-06-29
707,0.15,2013-05-30,2013-06-29
708,0.0,2011-05-01,2014-11-30
708,0.02,2011-05-31,2014-05-30
708,0.05,2011-05-31,2014-05-30
708,0.1,2012-05-30,2012-06-29
708,0.15,2013-05-30,2013-06-29
709,0.0,2011-05-01,2014-11-30
709,0.02,2011-05-31,2014-05-30
709,0.05,2011-05-31,2014-05-30
709,0.1,2011-05-31,2014-05-30
710,0.0,2011-05-01,2014-11-30
711,0.0,2011-05-01,2014-11-30
711,0.02,2011-05-31,2014-05-30
711,0.05,2011-05-31,2014-05-30
711,0.1,2012-05-30,2012-06-29
711,0.15,2013-05-30,2013-06-29
712,0.0,2011-05-01,2014-11-30
712,0.02,2011-05-31,2014-05-30
712,0.05,2011-05-31,2014-05-30
712,0.1,2011-05-31,2014-05-30
713,0.0,2011-05-01,2014-11-30
714,0.0,2011-05-01,2014-11-30
714,0.02,2011-05-31,2014-05-30
714,0.05,2011-05-31,2014-05-30
715,0.0,2011-05-01,2014-11-30
715,0.02,2011-05-31,2014-05-30
715,0.05,2011-05-31,2014-05-30
715,0.1,2011-05-31,2014-05-30
716,0.0,2011-05-01,2014-11-30
716,0.02,2011-05-31,2014-05-30
717,0.0,2011-05-01,2014-11-30
718,0.0,2011-05-01,2014-11-30
719,0.0,2011-05-01,2014-11-30
722,0.0,2011-05-01,2014-11-30
723,0.0,2011-05-01,2014-11-30
725,0.0,2011-05-01,2014-11-30
725,0.02,2011-05-31,2014-05-30
726,0.0,2011-05-01,2014-11-30
727,0.0,2011-05-01,2014-11-30
729,0.0,2011-05-01,2014-11-30
730,0.0,2011-05-01,2014-11-30
730,0.02,2011-05-31,2014-05-30
732,0.0,2011-05-01,2014-11-30
733,0.0,2011-05-01,2014-11-30
736,0.0,2011-05-01,2014-11-30
738,0.0,2011-05-01,2014-11-30
738,0.02,2011-05-31,2014-05-30
739,0.0,2011-05-01,2014-11-30
741,0.0,2011-05-01,2014-11-30
742,0.0,2011-05-01,2014-11-30
743,0.0,2011-05-01,2014-11-30
744,0.0,2011-05-01,2014-11-30
745,0.0,2011-05-01,2014-11-30
747,0.0,2011-05-01,2014-11-30
748,0.0,2011-05-01,2014-11-30
748,0.02,2011-05-31,2014-05-30
749,0.0,2011-05-01,2014-11-30
750,0.0,2011-05-01,2014-11-30
751,0.0,2011-05-01,2014-11-30
752,0.0,2011-05-01,2014-11-30
753,0.0,2011-05-01,2014-11-30
754,0.0,2011-05-01,2014-11-30
754,0.02,2011-05-31,2014-05-30
755,0.0,2011-05-01,2014-11-30
756,0.0,2011-05-01,2014-11-30
757,0.0,2011-05-01,2014-11-30
758,0.0,2011-05-01,2014-11-30
759,0.0,2011-05-01,2014-11-30
760,0.0,2011-05-01,2014-11-30
760,0.02,2011-05-31,2014-05-30
760,0.05,2011-05-31,2014-05-30
761,0.0,2011-05-01,2014-11-30
761,0.02,2011-05-31,2014-05-30
761,0.05,2011-05-31,2014-05-30
762,0.0,2011-05-01,2014-11-30
762,0.02,2011-05-31,2014-05-30
762,0.05,2011-05-31,2014-05-30
762,0.3,2012-05-30,2012-07-30
763,0.0,2011-05-01,2014-11-30
763,0.02,2011-05-31,2014-05-30
763,0.05,2011-05-31,2014-05-30
764,0.0,2011-05-01,2014-11-30
765,0.0,2011-05-01,2014-11-30
765,0.02,2011-05-31,2014-05-30
765,0.05,2011-05-31,2014-05-30
766,0.0,2011-05-01,2014-11-30
766,0.02,2011-05-31,2014-05-30
767,0.0,2011-05-01,2014-11-30
768,0.0,2011-05-01,2014-11-30
